subset,label,person,id,acceleration,time,dimension
train,swiperight,james,0,-15.0,0.0,x
train,swiperight,james,0,-31.0,0.0,y
train,swiperight,james,0,-8.0,0.0,z
train,swiperight,james,0,-17.0,0.1,x
train,swiperight,james,0,-37.0,0.1,y
train,swiperight,james,0,0.0,0.1,z
train,swiperight,james,0,-20.0,0.2,x
train,swiperight,james,0,-34.0,0.2,y
train,swiperight,james,0,-16.0,0.2,z
train,swiperight,james,0,7.0,0.3,x
train,swiperight,james,0,11.0,0.3,y
train,swiperight,james,0,-35.0,0.3,z
train,swiperight,james,0,-17.0,0.4,x
train,swiperight,james,0,23.0,0.4,y
train,swiperight,james,0,-29.0,0.4,z
train,swiperight,james,0,-25.0,0.5,x
train,swiperight,james,0,-1.0,0.5,y
train,swiperight,james,0,-20.0,0.5,z
train,swiperight,james,0,-24.0,0.6,x
train,swiperight,james,0,-2.0,0.6,y
train,swiperight,james,0,-21.0,0.6,z
train,swiperight,james,0,-23.0,0.7,x
train,swiperight,james,0,3.0,0.7,y
train,swiperight,james,0,-23.0,0.7,z
train,swiperight,james,0,-23.0,0.8,x
train,swiperight,james,0,2.0,0.8,y
train,swiperight,james,0,-22.0,0.8,z
train,swiperight,james,0,-23.0,0.9,x
train,swiperight,james,0,2.0,0.9,y
train,swiperight,james,0,-22.0,0.9,z
train,swiperight,james,0,-22.0,1.0,x
train,swiperight,james,0,3.0,1.0,y
train,swiperight,james,0,-23.0,1.0,z
train,swiperight,james,1,-4.0,0.0,x
train,swiperight,james,1,-26.0,0.0,y
train,swiperight,james,1,-23.0,0.0,z
train,swiperight,james,1,-8.0,0.1,x
train,swiperight,james,1,-33.0,0.1,y
train,swiperight,james,1,-21.0,0.1,z
train,swiperight,james,1,0.0,0.2,x
train,swiperight,james,1,-31.0,0.2,y
train,swiperight,james,1,-17.0,0.2,z
train,swiperight,james,1,4.0,0.3,x
train,swiperight,james,1,-19.0,0.3,y
train,swiperight,james,1,-27.0,0.3,z
train,swiperight,james,1,5.0,0.4,x
train,swiperight,james,1,38.0,0.4,y
train,swiperight,james,1,-17.0,0.4,z
train,swiperight,james,1,-7.0,0.5,x
train,swiperight,james,1,17.0,0.5,y
train,swiperight,james,1,-22.0,0.5,z
train,swiperight,james,1,-13.0,0.6,x
train,swiperight,james,1,-2.0,0.6,y
train,swiperight,james,1,-29.0,0.6,z
train,swiperight,james,1,-15.0,0.7,x
train,swiperight,james,1,-2.0,0.7,y
train,swiperight,james,1,-31.0,0.7,z
train,swiperight,james,1,-12.0,0.8,x
train,swiperight,james,1,-5.0,0.8,y
train,swiperight,james,1,-32.0,0.8,z
train,swiperight,james,1,-11.0,0.9,x
train,swiperight,james,1,-7.0,0.9,y
train,swiperight,james,1,-31.0,0.9,z
train,swiperight,james,1,-10.0,1.0,x
train,swiperight,james,1,-10.0,1.0,y
train,swiperight,james,1,-30.0,1.0,z
train,swiperight,james,1,-10.0,1.1,x
train,swiperight,james,1,-7.0,1.1,y
train,swiperight,james,1,-27.0,1.1,z
train,swiperight,james,2,-13.0,0.0,x
train,swiperight,james,2,-34.0,0.0,y
